Date,Input Voltage,CPU Temp,CPU Clock,CPU Usage,Governor,Fan RPM,Fan Percent,Undervoltage detected,Arm frequency capped,Currently throttled,Soft temperature limit active,Undervoltage has occurred,Arm frequency capping has occurred,Throttling has occurred,Soft temperature limit has occurred
2024-11-21 20:52:04.648189,4.89368,47.7,1500016128,4.6,ondemand,1237,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:05.692700,4.88698,47.7,2400030464,9.6,ondemand,1235,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:06.739043,4.83606,47.7,2400033792,4.5,ondemand,1235,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:07.782576,4.8709,48.3,2400033792,0.7,ondemand,1238,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:08.825234,4.88296,47.7,2400027136,1.4,ondemand,1238,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:09.868053,4.88564,48.3,2400020480,2.1,ondemand,1239,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:10.912103,4.88162,47.7,1500012800,1.0,ondemand,1240,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:11.956318,4.8709,48.3,2400027136,8.1,ondemand,1237,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:13.000551,4.88966,48.3,2400037120,1.2,ondemand,1239,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:14.049775,4.85616,46.6,2400033792,1.9,ondemand,1240,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:15.091558,4.84544,47.7,2400030464,2.1,ondemand,1241,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:16.134335,4.8843,47.2,2400033792,1.9,ondemand,1241,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:17.176453,4.88966,46.1,1500016128,2.1,ondemand,1244,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:18.220926,4.90708,46.6,1500012800,2.8,ondemand,1245,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:19.265618,4.88698,46.6,1500022656,0.2,ondemand,1247,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:20.313523,4.89502,46.1,1500019456,0.2,ondemand,1247,75,False,False,False,False,False,False,False,False
2024-11-21 20:52:21.358406,4.88698,47.2,1500019456,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:22.402287,4.8977,46.6,1500016128,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:23.445789,4.8977,48.3,1500019456,1.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:24.506079,4.8843,47.2,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:25.551272,4.87626,47.2,1500022656,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:26.594860,4.88698,46.1,1800025216,3.6,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:27.639082,4.86822,47.2,1500016128,1.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:28.683489,4.88832,44.4,1500019456,1.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:29.728216,4.891,45.5,1600020224,1.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:30.773585,4.89904,45.5,1500022656,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:31.818994,4.88296,47.2,1500012800,1.9,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:32.863581,4.89368,46.1,1500019456,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:33.908920,4.88564,46.1,1500022656,2.6,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:34.953966,4.89636,46.6,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:35.998073,4.90038,46.6,1500012800,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:37.041932,4.89904,46.6,1500019456,1.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:38.086021,4.88966,46.1,1500012800,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:39.133169,4.8977,45.5,1500019456,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:40.218785,4.86286,48.3,2400037120,14.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:41.264057,4.88162,47.2,2400027136,1.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:42.310206,4.88698,48.3,2400027136,3.1,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:43.353197,4.87358,48.8,2400027136,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:44.396316,4.88028,46.6,2400033792,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:45.540396,4.89636,47.7,1500022656,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:46.585338,4.89904,45.5,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:47.630443,4.89904,46.6,1500012800,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:48.674056,4.90306,46.6,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:49.719152,4.8843,47.2,2400023808,5.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:50.762150,4.87224,47.7,2400027136,4.1,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:51.805776,4.88832,47.2,2400027136,8.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:52.849078,4.8776,48.3,2400033792,1.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:53.891351,4.88832,46.1,2400033792,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:54.935242,4.88698,47.7,1600020224,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:55.980199,4.8977,47.7,1500019456,1.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:57.024866,4.891,46.6,1500016128,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:58.069309,4.89368,46.6,1500016128,1.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:52:59.113671,4.89502,46.6,1500019456,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:00.156808,4.9111,46.6,2400030464,6.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:01.199455,4.88698,48.3,2400027136,1.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:02.241224,4.87626,48.3,2400037120,15.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:03.284712,4.88564,48.3,2400030464,1.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:04.328072,4.88698,48.8,2400033792,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:05.371437,4.90038,46.6,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:06.416018,4.88832,47.2,1600013696,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:07.461632,4.89368,46.1,1500022656,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:08.504884,4.8642,47.7,1500019456,0.5,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:09.548681,4.88832,47.2,1500016128,0.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:10.591903,4.90306,47.7,1500012800,1.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:11.635335,4.891,47.2,1500016128,0.9,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:12.719619,4.88966,47.7,1800022016,5.3,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:13.765477,4.88832,48.3,1500019456,1.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:14.811212,4.8977,47.2,1500019456,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:15.855753,4.88698,47.7,1600023552,2.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:16.902578,4.89636,46.1,1500022656,1.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:17.946792,4.8977,48.3,1500012800,1.4,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:18.991060,4.89234,47.2,1500022656,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:20.034417,4.90172,47.2,2400037120,6.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:21.075840,4.88698,48.8,2400030464,0.7,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:22.117215,4.90038,49.4,2400033792,3.6,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:23.160306,4.8776,48.8,2400030464,1.2,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:24.204250,4.88698,49.4,2400037120,4.1,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:25.246569,4.89904,46.6,1500012800,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
2024-11-21 20:53:26.290262,4.90172,47.2,1500016128,0.0,ondemand,0,0,False,False,False,False,False,False,False,False
